Symbol,Name,Weight,relative_strength,rel_Momntum,Change_of_Mom,Snapshot_Date
NVDA,NVIDIA Corp,5.2%,1.0542,0.2415,0.0153,2026-06-03
MSFT,Microsoft Corp,5.1%,1.0542,0.2415,0.0153,2026-06-03
AAPL,Apple Inc,4.9%,1.0542,0.2415,0.0153,2026-06-03
AMZN,Amazon.com Inc,4.5%,1.0542,0.2415,0.0153,2026-06-03
META,Meta Platforms,4.1%,1.0542,0.2415,0.0153,2026-06-03
GOOGL,Alphabet Inc,3.9%,1.0542,0.2415,0.0153,2026-06-03
BRK.B,Berkshire Hathaway,3.5%,1.0542,0.2415,0.0153,2026-06-03
AVGO,Broadcom Inc,3.2%,1.0542,0.2415,0.0153,2026-06-03
LLY,Eli Lilly,3.1%,1.0542,0.2415,0.0153,2026-06-03
JPM,JPMorgan Chase,2.9%,1.0542,0.2415,0.0153,2026-06-03
TSLA,Tesla Inc,2.8%,1.0542,0.2415,0.0153,2026-06-03
UNH,UnitedHealth Group,2.6%,1.0542,0.2415,0.0153,2026-06-03
XOM,Exxon Mobil,2.4%,1.0542,0.2415,0.0153,2026-06-03
V,Visa Inc,2.3%,1.0542,0.2415,0.0153,2026-06-03
PG,Procter & Gamble,2.1%,1.0542,0.2415,0.0153,2026-06-03
MA,Mastercard Inc,2.0%,1.0542,0.2415,0.0153,2026-06-03
COST,Costco Wholesale,1.9%,1.0542,0.2415,0.0153,2026-06-03
HD,Home Depot,1.8%,1.0542,0.2415,0.0153,2026-06-03
NFLX,Netflix Inc,1.7%,1.0542,0.2415,0.0153,2026-06-03
INTC,Intel Corp,1.5%,1.0542,0.2415,0.0153,2026-06-03
