No.,Symbol,Name,% Weight,Shares,asset_close_price,spmo_close_price,relative_strength,rel_Momntum,Change_of_Mom,Weight,Snapshot_Date
1.0,MU,"Micron Technology, Inc.",11.30%,2194591.0,1079.57,155.09,6.9609,49.8926,518.7486,,2026-06-03
2.0,NVDA,NVIDIA Corporation,8.88%,7958609.0,214.75,155.09,1.3847,-1.3251,-53.456,,2026-06-03
3.0,AVGO,Broadcom Inc.,7.71%,3370070.0,479.23,155.09,3.09,-1.4317,248.8909,,2026-06-03
4.0,GOOGL,Alphabet Inc.,4.70%,2512013.0,358.99,155.09,2.3147,-3.541,-203.836,,2026-06-03
5.0,AMD,"Advanced Micro Devices, Inc.",4.04%,1593894.0,542.52,155.09,3.4981,16.8494,78.2483,,2026-06-03
6.0,JNJ,Johnson & Johnson,3.77%,3395993.0,223.24,155.09,1.4394,-2.2187,-7.743,,2026-06-03
7.0,GOOG,Alphabet Inc.,3.73%,2012858.0,355.68,155.09,2.2934,-3.8226,-206.5272,,2026-06-03
8.0,LRCX,Lam Research Corporation,3.48%,2208384.0,343.71,155.09,2.2162,8.9982,88.7757,,2026-06-03
9.0,XOM,Exxon Mobil Corporation,2.82%,3800586.0,152.53,155.09,0.9835,0.2698,19.5808,,2026-06-03
10.0,INTC,Intel Corporation,2.78%,5116426.0,112.71,155.09,0.7267,3.8228,-39.8189,,2026-06-03
11.0,CAT,Caterpillar Inc.,2.54%,590241.0,926.18,155.09,5.9719,9.7571,-42.4285,,2026-06-03
12.0,SNDK,Sandisk Corporation,2.52%,288223.0,1831.5,155.09,11.8093,99.0877,521.7924,,2026-06-03
13.0,CSCO,"Cisco Systems, Inc.",2.01%,3330985.0,126.5,155.09,0.8157,1.74,11.3723,,2026-06-03
14.0,STX,Seagate Technology Holdings plc,1.95%,424915.0,940.69,155.09,6.0654,37.5646,219.6262,,2026-06-03
15.0,WDC,Western Digital Corporation,1.80%,661071.0,594.11,155.09,3.8307,24.2765,265.2732,,2026-06-03
16.0,AMAT,"Applied Materials, Inc.",1.78%,782606.0,500.77,155.09,3.2289,10.0511,122.2859,,2026-06-03
17.0,GE,GE Aerospace,1.62%,1003295.0,314.64,155.09,2.0288,-3.2703,14.2487,,2026-06-03
18.0,GS,"The Goldman Sachs Group, Inc.",1.44%,276259.0,1041.02,155.09,6.7124,-2.9322,-260.6873,,2026-06-03
19.0,PLTR,Palantir Technologies Inc.,1.41%,1762654.0,142.2,155.09,0.9169,-5.9506,-224.8264,,2026-06-03
20.0,KLAC,KLA Corporation,1.39%,143607.0,2125.11,155.09,13.7024,36.2606,676.9957,,2026-06-03
,SPMO,Invesco S&P 500 Momentum ETF,,,155.09,155.09,1.0,0.0,0.0,100.0%,2026-06-03
