Symbol,Name,Weight,asset_close_price,spmo_close_price,relative_strength,rel_Momntum,Change_of_Mom,Snapshot_Date
MU,Micron Technology Inc,10.72%,1079.57,155.09,6.9609,49.8926,518.7483,2026-06-04
NVDA,NVIDIA Corp,8.45%,214.75,155.09,1.3847,-1.3251,-53.456,2026-06-04
AVGO,Broadcom Inc,7.57%,479.23,155.09,3.09,-1.4317,248.8906,2026-06-04
GOOGL,Alphabet Inc Class A,4.81%,358.99,155.09,2.3147,-3.541,-203.8357,2026-06-04
AMD,Advanced Micro Devices,4.14%,542.52,155.09,3.4981,16.8494,78.2483,2026-06-04
JNJ,Johnson & Johnson,3.77%,223.24,155.09,1.4394,-2.2187,-7.7429,2026-06-04
GOOG,Alphabet Inc Class C,3.73%,355.68,155.09,2.2934,-3.8226,-206.5272,2026-06-04
LRCX,Lam Research Corp,3.48%,343.71,155.09,2.2162,8.9982,88.7756,2026-06-04
XOM,Exxon Mobil Corp,2.83%,152.53,155.09,0.9835,0.2698,19.5809,2026-06-04
INTC,Intel Corp,2.78%,112.71,155.09,0.7267,3.8228,-39.8189,2026-06-04
MSFT,Microsoft Corp,2.5%,427.34,155.09,2.7554,-12.4586,-136.3541,2026-06-04
AAPL,Apple Inc,2.4%,310.26,155.09,2.0005,-3.1418,-57.0816,2026-06-04
AMZN,Amazon.com Inc,2.3%,250.02,155.09,1.6121,-2.9722,-142.6169,2026-06-04
META,Meta Platforms,2.2%,622.98,155.09,4.0169,-15.7552,-362.1337,2026-06-04
BRK-B,Berkshire Hathaway,2.1%,475.37,155.09,3.0651,-11.3017,19.0659,2026-06-04
LLY,Eli Lilly,2.0%,1078.78,155.09,6.9558,-14.1989,212.4035,2026-06-04
JPM,JPMorgan Chase,1.9%,300.85,155.09,1.9398,-6.5573,-48.2135,2026-06-04
TSLA,Tesla Inc,1.8%,423.7,155.09,2.732,-10.529,-346.7212,2026-06-04
UNH,UnitedHealth Group,1.7%,377.0,155.09,2.4308,-2.8231,-87.5354,2026-06-04
V,Visa Inc,1.6%,312.4,155.09,2.0143,-7.2971,-109.5484,2026-06-04
SPMO,Invesco S&P 500 Momentum ETF,100.0%,155.09,155.09,155.09,0.0,0.0,2026-06-04
