No.,Symbol,Name,Weight,Shares,asset_close_price,spmo_close_price,relative_strength,rel_Momntum,Change_of_Mom,Snapshot_Date
1.0,MU,"Micron Technology, Inc.",11.58%,2207871.0,864.01,144.28,5.9884,20.2375,-612.9428,2026-06-05
2.0,NVDA,NVIDIA Corporation,8.35%,8006769.0,205.1,144.28,1.4215,-1.7673,30.891,2026-06-05
3.0,AVGO,Broadcom Inc.,7.89%,3390470.0,385.73,144.28,2.6735,-4.27,-91.4572,2026-06-05
4.0,GOOGL,Alphabet Inc.,4.41%,2527213.0,368.53,144.28,2.5543,-1.2173,134.3966,2026-06-05
5.0,AMD,"Advanced Micro Devices, Inc.",4.23%,1603574.0,466.38,144.28,3.2325,6.5458,-281.8358,2026-06-05
6.0,LRCX,Lam Research Corporation,3.71%,2221744.0,303.28,144.28,2.102,1.9983,-68.2416,2026-06-05
7.0,JNJ,Johnson & Johnson,3.70%,3416553.0,232.77,144.28,1.6133,-1.1529,134.4955,2026-06-05
8.0,GOOG,Alphabet Inc.,3.50%,2025018.0,365.76,144.28,2.5351,-1.2081,136.872,2026-06-05
9.0,XOM,Exxon Mobil Corporation,2.83%,3823626.0,149.92,144.28,1.0391,-1.357,20.17,2026-06-05
10.0,INTC,Intel Corporation,2.82%,5147386.0,99.17,144.28,0.6873,-0.3721,-118.2575,2026-06-05
11.0,CAT,Caterpillar Inc.,2.67%,593841.0,904.28,144.28,6.2675,0.7307,212.5506,2026-06-05
12.0,SNDK,Sandisk Corporation,2.58%,289983.0,1559.32,144.28,10.8076,26.6957,-1131.6448,2026-06-05
13.0,CSCO,"Cisco Systems, Inc.",2.06%,3351145.0,121.64,144.28,0.8431,1.5814,-24.119,2026-06-05
14.0,STX,Seagate Technology Holdings plc,1.95%,427475.0,847.47,144.28,5.8738,9.5446,-649.0433,2026-06-05
15.0,WDC,Western Digital Corporation,1.92%,665071.0,511.72,144.28,3.5467,3.9033,-366.7477,2026-06-05
16.0,AMAT,"Applied Materials, Inc.",1.92%,787326.0,453.01,144.28,3.1398,2.1776,-136.0968,2026-06-05
17.0,GE,GE Aerospace,1.54%,1009375.0,328.0,144.28,2.2734,1.0489,186.3085,2026-06-05
18.0,KLAC,KLA Corporation,1.49%,144487.0,1929.2,144.28,13.3712,-4.9966,-542.2153,2026-06-05
19.0,GS,"The Goldman Sachs Group, Inc.",1.41%,277939.0,1038.68,144.28,7.1991,3.0431,253.3416,2026-06-05
20.0,RTX,RTX Corporation,1.30%,1553079.0,180.99,144.28,1.2544,-0.6141,110.8637,2026-06-05
,SPMO,Invesco S&P 500 Momentum ETF,100.0%,,144.28,144.28,1.0,135.0999,-9360.0006,2026-06-05
